"k","frac_covered","gene","filter"
1,0.496252342286071,"ABCC8","All common SNPs"
2,0.734540911930044,"ABCC8","All common SNPs"
3,0.841661461586508,"ABCC8","All common SNPs"
4,0.898188632104934,"ABCC8","All common SNPs"
5,0.931292941911305,"ABCC8","All common SNPs"
6,0.955340412242349,"ABCC8","All common SNPs"
7,0.967207995003123,"ABCC8","All common SNPs"
8,0.972517176764522,"ABCC8","All common SNPs"
9,0.975327920049969,"ABCC8","All common SNPs"
10,0.977514053716427,"ABCC8","All common SNPs"
11,0.979075577763898,"ABCC8","All common SNPs"
12,0.980324797001874,"ABCC8","All common SNPs"
13,0.981261711430356,"ABCC8","All common SNPs"
14,0.981886321049344,"ABCC8","All common SNPs"
15,0.982510930668332,"ABCC8","All common SNPs"
16,0.982823235477826,"ABCC8","All common SNPs"
17,0.98313554028732,"ABCC8","All common SNPs"
18,0.983447845096814,"ABCC8","All common SNPs"
19,0.983760149906309,"ABCC8","All common SNPs"
20,0.984072454715803,"ABCC8","All common SNPs"
21,0.984072454715803,"ABCC8","All common SNPs"
1,0.480637101811368,"AKT1","All common SNPs"
2,0.69893816364772,"AKT1","All common SNPs"
3,0.809181761399126,"AKT1","All common SNPs"
4,0.861024359775141,"AKT1","All common SNPs"
5,0.888819487820112,"AKT1","All common SNPs"
6,0.905371642723298,"AKT1","All common SNPs"
7,0.915365396627108,"AKT1","All common SNPs"
8,0.921299188007495,"AKT1","All common SNPs"
9,0.925983760149906,"AKT1","All common SNPs"
10,0.930668332292317,"AKT1","All common SNPs"
11,0.933479075577764,"AKT1","All common SNPs"
12,0.935977514053716,"AKT1","All common SNPs"
13,0.938163647720175,"AKT1","All common SNPs"
14,0.940037476577139,"AKT1","All common SNPs"
15,0.940974391005622,"AKT1","All common SNPs"
16,0.94159900062461,"AKT1","All common SNPs"
17,0.942223610243598,"AKT1","All common SNPs"
18,0.942535915053092,"AKT1","All common SNPs"
19,0.942848219862586,"AKT1","All common SNPs"
20,0.94316052467208,"AKT1","All common SNPs"
21,0.94316052467208,"AKT1","All common SNPs"
1,0.484384759525297,"CARD11","All common SNPs"
2,0.729856339787633,"CARD11","All common SNPs"
3,0.857276702061212,"CARD11","All common SNPs"
4,0.922860712054966,"CARD11","All common SNPs"
5,0.955652717051843,"CARD11","All common SNPs"
6,0.972829481574016,"CARD11","All common SNPs"
7,0.982510930668332,"CARD11","All common SNPs"
8,0.988132417239226,"CARD11","All common SNPs"
9,0.991255465334166,"CARD11","All common SNPs"
10,0.992816989381636,"CARD11","All common SNPs"
11,0.993441599000625,"CARD11","All common SNPs"
12,0.993753903810119,"CARD11","All common SNPs"
13,0.994066208619613,"CARD11","All common SNPs"
14,0.994378513429107,"CARD11","All common SNPs"
15,0.994690818238601,"CARD11","All common SNPs"
16,0.994690818238601,"CARD11","All common SNPs"
1,0.487507807620237,"COL1A1","All common SNPs"
2,0.68738288569644,"COL1A1","All common SNPs"
3,0.805121798875703,"COL1A1","All common SNPs"
4,0.850405996252342,"COL1A1","All common SNPs"
5,0.873828856964397,"COL1A1","All common SNPs"
6,0.891630231105559,"COL1A1","All common SNPs"
7,0.902248594628357,"COL1A1","All common SNPs"
8,0.910993129294191,"COL1A1","All common SNPs"
9,0.915677701436602,"COL1A1","All common SNPs"
10,0.919425359150531,"COL1A1","All common SNPs"
11,0.922236102435978,"COL1A1","All common SNPs"
12,0.924422236102436,"COL1A1","All common SNPs"
13,0.925983760149906,"COL1A1","All common SNPs"
14,0.926608369768894,"COL1A1","All common SNPs"
15,0.927232979387883,"COL1A1","All common SNPs"
16,0.927545284197377,"COL1A1","All common SNPs"
17,0.927545284197377,"COL1A1","All common SNPs"
1,0.487507807620237,"COL1A2","All common SNPs"
2,0.687695190505934,"COL1A2","All common SNPs"
3,0.788257339163023,"COL1A2","All common SNPs"
4,0.844472204871955,"COL1A2","All common SNPs"
5,0.86945658963148,"COL1A2","All common SNPs"
6,0.882573391630231,"COL1A2","All common SNPs"
7,0.893191755153029,"COL1A2","All common SNPs"
8,0.897564022485946,"COL1A2","All common SNPs"
9,0.900687070580887,"COL1A2","All common SNPs"
10,0.902248594628357,"COL1A2","All common SNPs"
11,0.903810118675828,"COL1A2","All common SNPs"
12,0.90474703310431,"COL1A2","All common SNPs"
13,0.905371642723298,"COL1A2","All common SNPs"
14,0.905683947532792,"COL1A2","All common SNPs"
15,0.905996252342286,"COL1A2","All common SNPs"
16,0.905996252342286,"COL1A2","All common SNPs"
1,0.509369144284822,"COL2A1","All common SNPs"
2,0.726108682073704,"COL2A1","All common SNPs"
3,0.787632729544035,"COL2A1","All common SNPs"
4,0.824797001873829,"COL2A1","All common SNPs"
5,0.848219862585884,"COL2A1","All common SNPs"
6,0.864459712679575,"COL2A1","All common SNPs"
7,0.874453466583385,"COL2A1","All common SNPs"
8,0.882573391630231,"COL2A1","All common SNPs"
9,0.88788257339163,"COL2A1","All common SNPs"
10,0.891630231105559,"COL2A1","All common SNPs"
11,0.894440974391006,"COL2A1","All common SNPs"
12,0.896627108057464,"COL2A1","All common SNPs"
13,0.898500936914428,"COL2A1","All common SNPs"
14,0.899437851342911,"COL2A1","All common SNPs"
15,0.900374765771393,"COL2A1","All common SNPs"
16,0.901311680199875,"COL2A1","All common SNPs"
17,0.901936289818863,"COL2A1","All common SNPs"
18,0.902248594628357,"COL2A1","All common SNPs"
19,0.902560899437851,"COL2A1","All common SNPs"
20,0.902873204247345,"COL2A1","All common SNPs"
21,0.90318550905684,"COL2A1","All common SNPs"
22,0.903497813866334,"COL2A1","All common SNPs"
23,0.903810118675828,"COL2A1","All common SNPs"
24,0.904122423485322,"COL2A1","All common SNPs"
25,0.904434728294816,"COL2A1","All common SNPs"
26,0.90474703310431,"COL2A1","All common SNPs"
27,0.90474703310431,"COL2A1","All common SNPs"
1,0.466583385384135,"KCNJ11","All common SNPs"
2,0.615865084322299,"KCNJ11","All common SNPs"
3,0.682386008744535,"KCNJ11","All common SNPs"
4,0.692067457838851,"KCNJ11","All common SNPs"
5,0.701124297314179,"KCNJ11","All common SNPs"
6,0.709868831980012,"KCNJ11","All common SNPs"
7,0.716427232979388,"KCNJ11","All common SNPs"
8,0.719237976264834,"KCNJ11","All common SNPs"
9,0.721111805121799,"KCNJ11","All common SNPs"
10,0.722361024359775,"KCNJ11","All common SNPs"
11,0.723610243597751,"KCNJ11","All common SNPs"
12,0.72423485321674,"KCNJ11","All common SNPs"
13,0.724859462835728,"KCNJ11","All common SNPs"
14,0.725171767645222,"KCNJ11","All common SNPs"
15,0.725484072454716,"KCNJ11","All common SNPs"
16,0.72579637726421,"KCNJ11","All common SNPs"
17,0.72579637726421,"KCNJ11","All common SNPs"
1,0.495003123048095,"KCNQ2","All common SNPs"
2,0.69050593379138,"KCNQ2","All common SNPs"
3,0.788881948782011,"KCNQ2","All common SNPs"
4,0.845409119300437,"KCNQ2","All common SNPs"
5,0.876014990630856,"KCNQ2","All common SNPs"
6,0.895065584009994,"KCNQ2","All common SNPs"
7,0.908494690818239,"KCNQ2","All common SNPs"
8,0.91630231105559,"KCNQ2","All common SNPs"
9,0.92317301686446,"KCNQ2","All common SNPs"
10,0.927857589006871,"KCNQ2","All common SNPs"
11,0.931917551530294,"KCNQ2","All common SNPs"
12,0.935352904434728,"KCNQ2","All common SNPs"
13,0.937851342910681,"KCNQ2","All common SNPs"
14,0.940349781386633,"KCNQ2","All common SNPs"
15,0.941911305434104,"KCNQ2","All common SNPs"
16,0.94316052467208,"KCNQ2","All common SNPs"
17,0.944409743910056,"KCNQ2","All common SNPs"
18,0.945346658338538,"KCNQ2","All common SNPs"
19,0.946283572767021,"KCNQ2","All common SNPs"
20,0.946908182386009,"KCNQ2","All common SNPs"
21,0.947532792004997,"KCNQ2","All common SNPs"
22,0.948157401623985,"KCNQ2","All common SNPs"
23,0.948469706433479,"KCNQ2","All common SNPs"
24,0.948782011242973,"KCNQ2","All common SNPs"
25,0.949094316052467,"KCNQ2","All common SNPs"
26,0.949406620861961,"KCNQ2","All common SNPs"
27,0.949718925671455,"KCNQ2","All common SNPs"
28,0.950031230480949,"KCNQ2","All common SNPs"
29,0.950343535290443,"KCNQ2","All common SNPs"
30,0.950655840099938,"KCNQ2","All common SNPs"
31,0.950968144909432,"KCNQ2","All common SNPs"
32,0.950968144909432,"KCNQ2","All common SNPs"
1,0.500936914428482,"KIF1A","All common SNPs"
2,0.716427232979388,"KIF1A","All common SNPs"
3,0.826046221111805,"KIF1A","All common SNPs"
4,0.892254840724547,"KIF1A","All common SNPs"
5,0.924422236102436,"KIF1A","All common SNPs"
6,0.943785134291068,"KIF1A","All common SNPs"
